Date,MSCI All Country World Index
1/31/2000,186.5
2/29/2000,197.7
3/31/2000,188.2
4/30/2000,180.4
5/31/2000,185.5
6/30/2000,179.2
7/31/2000,183.2
8/31/2000,172.3
9/30/2000,168.1
10/31/2000,156.8
11/30/2000,157.6
12/31/2000,161.0
1/31/2001,146.8
2/28/2001,136.2
3/31/2001,146.4
4/30/2001,143.9
5/31/2001,139.0
6/30/2001,136.4
7/31/2001,129.8
8/31/2001,117.6
9/30/2001,119.8
10/31/2001,126.9
11/30/2001,127.6
12/31/2001,123.8
1/31/2002,122.6
2/28/2002,128.0
3/31/2002,123.4
4/30/2002,124.6
5/31/2002,118.9
6/30/2002,108.7
7/31/2002,108.2
8/31/2002,96.1
9/30/2002,102.9
10/31/2002,108.3
11/30/2002,102.9
12/31/2002,99.7
1/31/2003,97.8
2/28/2003,97.0
3/31/2003,105.5
4/30/2003,110.8
5/31/2003,112.7
6/30/2003,114.9
7/31/2003,117.6
8/31/2003,118.1
9/30/2003,125.0
10/31/2003,126.6
11/30/2003,134.2
12/31/2003,136.3
1/31/2004,138.5
2/29/2004,137.3
3/31/2004,133.5
4/30/2004,133.3
5/31/2004,135.6
6/30/2004,131.1
7/31/2004,132.2
8/31/2004,134.6
9/30/2004,137.6
10/31/2004,144.7
11/30/2004,149.4
12/31/2004,146.9
1/31/2005,151.5
2/28/2005,147.7
3/31/2005,143.8
4/30/2005,145.4
5/31/2005,146.4
6/30/2005,151.4
7/31/2005,151.9
8/31/2005,156.0
9/30/2005,151.3
10/31/2005,156.1
11/30/2005,160.2
12/31/2005,167.4
1/31/2006,166.5
2/28/2006,169.1
3/31/2006,173.3
4/30/2006,164.9
5/31/2006,164.0
6/30/2006,164.5
7/31/2006,167.2
8/31/2006,168.4
9/30/2006,174.1
10/31/2006,178.1
11/30/2006,181.2
12/31/2006,182.3
1/31/2007,180.6
2/28/2007,183.2
3/31/2007,190.4
4/30/2007,193.7
5/31/2007,192.3
6/30/2007,188.5
7/31/2007,187.2
8/31/2007,196.3
9/30/2007,203.2
10/31/2007,193.3
11/30/2007,189.5
12/31/2007,173.4
1/31/2008,173.3
2/29/2008,168.2
3/31/2008,176.9
4/30/2008,179.5
5/31/2008,164.3
6/30/2008,159.6
7/31/2008,157.1
8/31/2008,137.0
9/30/2008,109.4
10/31/2008,101.9
11/30/2008,104.8
12/31/2008,95.7
1/31/2009,86.1
2/28/2009,92.9
3/31/2009,102.9
4/30/2009,109.0
5/31/2009,108.2
6/30/2009,117.6
7/31/2009,122.6
8/31/2009,128.0
9/30/2009,125.9
10/31/2009,130.8
11/30/2009,132.8
12/31/2009,127.0
1/31/2010,128.4
2/28/2010,136.3
3/31/2010,135.6
4/30/2010,122.0
5/31/2010,118.0
6/30/2010,127.5
7/31/2010,123.3
8/31/2010,134.8
9/30/2010,139.5
10/31/2010,136.1
11/30/2010,145.9
12/31/2010,147.0
1/31/2011,151.0
2/28/2011,150.5
3/31/2011,156.3
4/30/2011,152.0
5/31/2011,149.3
6/30/2011,146.7
7/31/2011,132.4
8/31/2011,119.6
9/30/2011,132.2
10/31/2011,128.0
11/30/2011,127.5
12/31/2011,134.4
1/31/2012,140.9
2/29/2012,141.4
3/31/2012,140.6
4/30/2012,128.0
5/31/2012,133.6
6/30/2012,135.3
7/31/2012,137.9
8/31/2012,141.9
9/30/2012,140.8
10/31/2012,142.3
11/30/2012,145.5
12/31/2012,152.1
1/31/2013,151.8
2/28/2013,154.1
3/31/2013,158.8
4/30/2013,158.1
5/31/2013,153.2
6/30/2013,160.3
7/31/2013,157.0
8/31/2013,164.8
9/30/2013,171.3
10/31/2013,173.4
11/30/2013,175.6
12/31/2013,168.4
1/31/2014,176.2
2/28/2014,176.6
3/31/2014,177.6
4/30/2014,180.3
5/31/2014,183.4
6/30/2014,180.9
7/31/2014,183.6
8/31/2014,177.4
9/30/2014,178.4
10/31/2014,181.1
11/30/2014,177.1
12/31/2014,174.2
1/31/2015,183.6
2/28/2015,180.3
3/31/2015,183.5
4/30/2015,182.4
5/31/2015,177.7
6/30/2015,179.1
7/31/2015,167.7
8/31/2015,161.3
9/30/2015,173.8
10/31/2015,172.0
11/30/2015,169.1
12/31/2015,158.7
1/31/2016,157.3
2/29/2016,168.0
3/31/2016,170.1
4/30/2016,169.3
5/31/2016,167.9
6/30/2016,174.9
7/31/2016,175.2
8/31/2016,175.9
9/30/2016,172.8
10/31/2016,173.7
11/30/2016,177.0
12/31/2016,181.5
1/31/2017,186.2
2/28/2017,187.9
3/31/2017,189.2
4/30/2017,192.4
5/31/2017,192.8
6/30/2017,197.8
7/31/2017,197.9
8/31/2017,201.2
9/30/2017,205.1
10/31/2017,208.6
11/30/2017,211.6
12/31/2017,223.2
1/31/2018,213.3
2/28/2018,207.9
3/31/2018,211.9
4/30/2018,210.8
5/31/2018,209.1
6/30/2018,214.9
7/31/2018,213.8
8/31/2018,214.1
9/30/2018,197.6
10/31/2018,199.9
11/30/2018,181.2
12/31/2018,195.0
1/31/2019,199.6
2/28/2019,201.3
3/31/2019,207.4
4/30/2019,195.4
5/31/2019,207.5
6/30/2019,207.6
7/31/2019,201.4
8/31/2019,205.0
9/30/2019,210.1
10/31/2019,214.8
11/30/2019,221.1
12/31/2019,218.3
1/31/2020,200.2
2/29/2020,172.6
3/31/2020,192.1
4/30/2020,195.6
5/31/2020,201.5
6/30/2020,211.8
7/31/2020,225.1
8/31/2020,217.5
9/30/2020,212.0
10/31/2020,237.9
11/30/2020,247.2
12/31/2020,245.9
